N,location,province_sigla,alt_m,theta_max_C,delta_theta_max_C,ur_max_pct,mese_piu_caldo,lat_geocoded,lon_geocoded
73,Reggio Emilia,RE,58.0,31.5,10.0,55.0,Luglio,44.6086674,10.594066675914796
74,Ragusa,RG,502.0,34.1,8.0,40.0,Luglio - agosto,36.925,14.730555555555556
75,Rieti,RI,405.0,29.5,12.0,50.0,Luglio,42.339365150000006,13.151600682783538
76,Roma,RM,20.0,34.0,11.0,50.0,Luglio - agosto,41.8933203,12.4829321
77,Rimini,RN,5.0,30.0,10.0,60.0,Agosto,43.9465039,12.63103171574298
78,Rovigo,RO,7.0,31.5,11.0,55.0,Agosto,45.0951493,11.7288906
79,Salerno,SA,4.0,31.2,6.0,55.0,Luglio - agosto,40.0765477,15.5246477
80,Siena,SI,322.0,31.3,13.0,50.0,Luglio,43.1381881,11.482096
81,Sondrio,SO,307.0,29.9,14.0,50.0,Luglio,46.32336235,10.258413671017705
82,La Spezia,SP,3.0,30.0,6.0,60.0,Luglio,44.108041666666665,9.828872222222222
83,Siracusa,SR,17.0,33.0,7.0,45.0,Luglio,37.0646139,15.2907196
84,Sassari,SS,255.0,30.5,8.0,50.0,Luglio,40.7778499,8.9219725134863
85,Savona,SV,4.0,29.0,6.0,55.0,Agosto,44.262262500000006,8.450575308530816
86,Taranto,TA,15.0,33.0,8.0,43.0,Luglio - agosto,40.54881555,17.08058012454743
87,Teramo,TE,265.0,33.0,8.0,40.0,Luglio,42.65811795,13.69787458752063
88,Trento,TN,194.0,32.0,12.0,45.0,Luglio,46.0288685,11.1220371
89,Torino,TO,239.0,31.0,11.0,50.0,Luglio,44.9666392,7.7098763
90,Trapani,TP,3.0,32.0,8.0,60.0,Luglio,37.9428772,12.6924714
91,Terni,TR,130.0,33.0,9.0,35.0,Luglio,42.5358561,12.75471
92,Trieste,TS,2.0,31.0,8.0,50.0,Luglio - agosto,45.64891435,13.7549272240603
93,Treviso,TV,15.0,31.0,10.0,56.0,Luglio,45.6728109,11.9252448
94,Udine,UD,113.0,31.0,11.0,52.0,Luglio,46.0634632,13.2358377
95,Varese,VA,382.0,29.0,10.0,50.0,Luglio,45.815457,8.6101375
96,Verbania,VB,197.0,30.0,10.0,48.0,Luglio,45.9230169,8.5497586
97,Vercelli,VC,130.0,32.0,11.0,55.0,Luglio,45.55538265,8.346283678327271
98,Venezia,VE,1.0,31.0,9.0,51.0,Luglio,45.439722222222215,12.331944444444444
99,Vicenza,VI,39.0,33.0,12.0,45.0,Luglio,45.7081441,11.5647668
100,Verona,VR,59.0,32.0,11.0,53.0,Luglio,45.3420898,10.99859
101,Viterbo,VT,326.0,31.0,12.0,45.0,Luglio - agosto,42.5379248,12.0309974
